[2022-04-07T15:07:18.727] [INFO] access - path: /test | method: GET | query: {"username":"asd"} | body: {}
[2022-04-07T15:07:18.769] [INFO] access - path: /favicon.ico | method: GET | query: {} | body: {}
[2022-04-07T22:15:27.861] [INFO] access - path: /test | method: GET | query: {} | body: {}
[2022-04-07T22:15:27.957] [INFO] access - path: /favicon.ico | method: GET | query: {} | body: {}
[2022-04-07T22:18:42.751] [INFO] access - path: /test/allUser | method: GET | query: {} | body: {}
[2022-04-07T22:18:42.793] [INFO] access - path: /favicon.ico | method: GET | query: {} | body: {}
[2022-04-07T22:19:20.101] [INFO] access - path: /test/allUser | method: GET | query: {} | body: {}
[2022-04-07T22:19:20.129] [INFO] access - path: /favicon.ico | method: GET | query: {} | body: {}
[2022-04-07T22:19:21.561] [INFO] access - path: /test/allUser | method: GET | query: {} | body: {}
[2022-04-07T22:19:21.589] [INFO] access - path: /favicon.ico | method: GET | query: {} | body: {}
[2022-04-07T22:19:22.484] [INFO] access - path: /test/allUser | method: GET | query: {} | body: {}
[2022-04-07T22:19:22.513] [INFO] access - path: /favicon.ico | method: GET | query: {} | body: {}
[2022-04-07T22:19:22.716] [INFO] access - path: /test/allUser | method: GET | query: {} | body: {}
[2022-04-07T22:19:22.747] [INFO] access - path: /favicon.ico | method: GET | query: {} | body: {}
[2022-04-07T22:19:23.538] [INFO] access - path: /test/allUser | method: GET | query: {} | body: {}
[2022-04-07T22:19:23.567] [INFO] access - path: /favicon.ico | method: GET | query: {} | body: {}
[2022-04-07T22:19:32.080] [INFO] access - path: /test/allUser | method: GET | query: {} | body: {}
[2022-04-07T22:19:32.109] [INFO] access - path: /favicon.ico | method: GET | query: {} | body: {}
[2022-04-07T22:20:20.824] [INFO] access - path: /test/allUser | method: GET | query: {} | body: {}
[2022-04-07T22:20:20.907] [INFO] access - path: /favicon.ico | method: GET | query: {} | body: {}
[2022-04-07T22:21:15.649] [INFO] access - path: /test/allUser | method: GET | query: {} | body: {}
[2022-04-07T22:21:16.006] [INFO] access - path: /favicon.ico | method: GET | query: {} | body: {}
